ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID
C:\Windows\System32\services.exe,4624,2026-04-18 17:43:43.115177+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,2030
,4627,2026-04-18 17:43:43.115189+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,2031
,4672,2026-04-18 17:43:43.115200+00:00,SYSTEM,,,,2032
,4688,2026-04-18 17:43:43.116522+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k whesvc -p -s whesvc,2033
,4688,2026-04-18 17:43:44.378519+00:00,pizza,-,C:\Windows\explorer.exe,"""C:\Users\pizza\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background",2034
,4688,2026-04-18 17:43:44.386358+00:00,pizza,-,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=chrome.mojom.UtilWin --lang=en-US --service-sandbox-type=none --message-loop-type-ui --skip-read-main-dll --metrics-shmem-handle=8596,i,15236349459482810634,517008905728410877,524288 --field-trial-handle=2284,i,7445214177790019479,381428523748705468,262144 --variations-seed-version --pseudonymization-salt-handle=2288,i,13510415274860347698,11705296152310878110,4 --trace-process-track-uuid=3190708999430457380 --mojo-platform-channel-handle=8592 /prefetch:14",2035
,4688,2026-04-18 17:43:45.466566+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",2036
,4688,2026-04-18 17:43:45.632526+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,2037
C:\Windows\System32\backgroundTaskHost.exe,4689,2026-04-18 17:43:45.789762+00:00,pizza,,,,2038
C:\Windows\System32\svchost.exe,4689,2026-04-18 17:43:46.103910+00:00,DESKTOP-7CV8A7M$,,,,2039
