ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID
C:\Windows\System32\RuntimeBroker.exe,4689,2026-04-18 18:13:06.467409+00:00,pizza,,,,3780
,4688,2026-04-18 18:13:25.616194+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,wmiadap.exe /F /T /R,3781
,4688,2026-04-18 18:13:34.221680+00:00,pizza,-,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=unzip.mojom.Unzipper --lang=en-US --service-sandbox-type=service --ram-no-pressure-read-main-dll --metrics-shmem-handle=3524,i,5769590099925237005,10811237176343149945,524288 --field-trial-handle=2220,i,8606386374638763007,13847168010778022021,262144 --variations-seed-version --pseudonymization-salt-handle=2224,i,7609250630321697839,8947361098505959950,4 --trace-process-track-uuid=3190709006926792172 --mojo-platform-channel-handle=8184 /prefetch:14",3782
C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,4689,2026-04-18 18:13:34.941402+00:00,pizza,,,,3783
,4688,2026-04-18 18:14:10.562130+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,taskhostw.exe,3784
C:\Windows\System32\taskhostw.exe,4689,2026-04-18 18:14:11.578007+00:00,DESKTOP-7CV8A7M$,,,,3785
,4688,2026-04-18 18:14:20.154100+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,taskhostw.exe,3786
C:\Windows\System32\taskhostw.exe,4689,2026-04-18 18:14:20.240950+00:00,DESKTOP-7CV8A7M$,,,,3787
,4688,2026-04-18 18:14:20.265650+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,taskhostw.exe SBServicing,3788
,4688,2026-04-18 18:14:21.119909+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",3789
,4688,2026-04-18 18:14:21.736504+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,3790
,4688,2026-04-18 18:14:22.171881+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",3791
,4688,2026-04-18 18:14:22.287605+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,3792
C:\Windows\System32\backgroundTaskHost.exe,4689,2026-04-18 18:14:22.369900+00:00,pizza,,,,3793
C:\Windows\System32\taskhostw.exe,4689,2026-04-18 18:14:22.899035+00:00,DESKTOP-7CV8A7M$,,,,3794
,4688,2026-04-18 18:14:23.529905+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe"" useprivatenamespaces",3795
C:\Windows\System32\services.exe,4624,2026-04-18 18:14:23.694805+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,3796
,4627,2026-04-18 18:14:23.694851+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,3797
,4672,2026-04-18 18:14:23.694862+00:00,SYSTEM,,,,3798
,4688,2026-04-18 18:14:23.696548+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k wusvcs -p -s WaaSMedicSvc,3799
,4688,2026-04-18 18:14:23.968222+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",3800
C:\Windows\System32\backgroundTaskHost.exe,4689,2026-04-18 18:14:24.197189+00:00,pizza,,,,3801
C:\Windows\System32\wbem\WmiPrvSE.exe,4689,2026-04-18 18:14:25.701988+00:00,DESKTOP-7CV8A7M$,,,,3802
C:\Windows\System32\backgroundTaskHost.exe,4689,2026-04-18 18:14:26.152283+00:00,pizza,,,,3803
C:\Windows\System32\svchost.exe,4689,2026-04-18 18:14:31.936920+00:00,DESKTOP-7CV8A7M$,,,,3804
C:\Windows\System32\svchost.exe,4689,2026-04-18 18:14:43.001411+00:00,DESKTOP-7CV8A7M$,,,,3805
,4688,2026-04-18 18:14:45.314678+00:00,pizza,-,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=unzip.mojom.Unzipper --lang=en-US --service-sandbox-type=service --ram-no-pressure-read-main-dll --metrics-shmem-handle=5056,i,6012146940730209919,15612048958263237495,524288 --field-trial-handle=2220,i,8606386374638763007,13847168010778022021,262144 --variations-seed-version --pseudonymization-salt-handle=2224,i,7609250630321697839,8947361098505959950,4 --trace-process-track-uuid=3190709007863834021 --mojo-platform-channel-handle=5364 /prefetch:14",3806
C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,4689,2026-04-18 18:14:45.397919+00:00,pizza,,,,3807
,4688,2026-04-18 18:14:59.170061+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",3808
,4688,2026-04-18 18:14:59.869379+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,taskhostw.exe Logon,3809
C:\Windows\System32\taskhostw.exe,4689,2026-04-18 18:14:59.973419+00:00,pizza,,,,3810
C:\Windows\System32\backgroundTaskHost.exe,4689,2026-04-18 18:15:00.794262+00:00,pizza,,,,3811
,4688,2026-04-18 18:15:01.711565+00:00,pizza,-,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=quarantine.mojom.Quarantine --lang=en-US --service-sandbox-type=none --skip-read-main-dll --metrics-shmem-handle=7668,i,8314181569088015868,17375501100782525501,524288 --field-trial-handle=2220,i,8606386374638763007,13847168010778022021,262144 --variations-seed-version --pseudonymization-salt-handle=2224,i,7609250630321697839,8947361098505959950,4 --trace-process-track-uuid=3190709009737917719 --mojo-platform-channel-handle=7640 /prefetch:14",3812
,4688,2026-04-18 18:15:02.082802+00:00,pizza,-,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=renderer --pdf-upsell-enabled --disable-gpu-compositing --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=24 --time-ticks-at-unix-epoch=-1776535750144736 --launch-time-ticks=351547162 --skip-read-main-dll --metrics-shmem-handle=5748,i,6053526862468984080,486647432683861636,2097152 --field-trial-handle=2220,i,8606386374638763007,13847168010778022021,262144 --variations-seed-version --pseudonymization-salt-handle=2224,i,7609250630321697839,8947361098505959950,4 --trace-process-track-uuid=3190709008800875870 --mojo-platform-channel-handle=5340 /prefetch:1",3813
C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,4689,2026-04-18 18:15:03.638544+00:00,pizza,,,,3814
C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,4689,2026-04-18 18:15:04.294703+00:00,pizza,,,,3815
C:\Windows\System32\RuntimeBroker.exe,4689,2026-04-18 18:15:06.449953+00:00,pizza,,,,3816
C:\Windows\System32\services.exe,4624,2026-04-18 18:15:07.561804+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,3817
,4627,2026-04-18 18:15:07.561815+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,3818
,4672,2026-04-18 18:15:07.561825+00:00,SYSTEM,,,,3819
,4688,2026-04-18 18:15:07.562967+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k WerSvcGroup,3820
,4688,2026-04-18 18:15:07.870739+00:00,pizza,-,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=Widgets.exe --webview-exe-version=526.1202.10.0 --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disk-cache-size=52428800 --edge-webview-is-background --lang=en-US --mojo-named-platform-channel-pipe=5756.3740.2852357953767065186 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e",3821
,4688,2026-04-18 18:15:08.142378+00:00,pizza,-,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView /prefetch:4 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\Crashpad --metrics-dir=C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=147.0.7727.102 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=147.0.3912.72 --initial-client-data=0x170,0x174,0x178,0x14c,0x264,0x7ffc54300d58,0x7ffc54300d64,0x7ffc54300d70",3822
,4695,2026-04-18 18:15:08.189360+00:00,pizza,,,,3823
,4695,2026-04-18 18:15:08.418556+00:00,pizza,,,,3824
,4695,2026-04-18 18:15:08.418842+00:00,pizza,,,,3825
,4688,2026-04-18 18:15:08.769562+00:00,pizza,-,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=526.1202.10.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=1664,i,10579938260610805823,12937584470942086463,524288 --field-trial-handle=2184,i,7867773475220497643,15113161362599012955,262144 --variations-seed-version --pseudonymization-salt-handle=2188,i,1245414037120468202,909865288720641458,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2460 /prefetch:11 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e",3826
,4688,2026-04-18 18:15:08.794012+00:00,pizza,-,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=526.1202.10.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=1912,i,1030506846250413614,14026835159487850193,524288 --field-trial-handle=2184,i,7867773475220497643,15113161362599012955,262144 --variations-seed-version --pseudonymization-salt-handle=2188,i,1245414037120468202,909865288720641458,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2468 /prefetch:13 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e",3827
,4688,2026-04-18 18:15:08.810362+00:00,pizza,-,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=526.1202.10.0 --embedded-browser-webview=1 --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --startup-read-main-dll --metrics-shmem-handle=1520,i,11075818356199906947,16896116682879922624,262144 --field-trial-handle=2184,i,7867773475220497643,15113161362599012955,262144 --variations-seed-version --pseudonymization-salt-handle=2188,i,1245414037120468202,909865288720641458,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=2180 /prefetch:2 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e",3828
