ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:16.350395+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1470
,4627,2026-04-18 17:41:16.350405+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1471
,4672,2026-04-18 17:41:16.350414+00:00,SYSTEM,,,,1472
,4688,2026-04-18 17:41:16.351959+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection,1473
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:16.505016+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1474
,4627,2026-04-18 17:41:16.505039+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1475
,4672,2026-04-18 17:41:16.505047+00:00,SYSTEM,,,,1476
,4688,2026-04-18 17:41:16.510542+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\spoolsv.exe,1477
,4688,2026-04-18 17:41:17.585993+00:00,DESKTOP-7CV8A7M$,LOCAL SERVICE,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p,1478
,5033,2026-04-18 17:41:17.686279+00:00,,,,,1479
,4688,2026-04-18 17:41:17.905939+00:00,DESKTOP-7CV8A7M$,DESKTOP-7CV8A7M$,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation,1480
,4688,2026-04-18 17:41:18.676472+00:00,DESKTOP-7CV8A7M$,LOCAL SERVICE,C:\Windows\System32\svchost.exe,taskhostw.exe TimeSyncTask,1481
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:18.867214+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1482
,4627,2026-04-18 17:41:18.867224+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1483
,4672,2026-04-18 17:41:18.867231+00:00,SYSTEM,,,,1484
,4688,2026-04-18 17:41:18.871754+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k utcsvc -p,1485
,4688,2026-04-18 17:41:18.884630+00:00,DESKTOP-7CV8A7M$,LOCAL SERVICE,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS,1486
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:18.889362+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1487
,4627,2026-04-18 17:41:18.889370+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1488
,4672,2026-04-18 17:41:18.889380+00:00,SYSTEM,,,,1489
,4688,2026-04-18 17:41:18.890987+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k NetSvcs -p -s iphlpsvc,1490
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:18.999773+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1491
,4627,2026-04-18 17:41:18.999846+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1492
,4672,2026-04-18 17:41:18.999857+00:00,SYSTEM,,,,1493
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:19.000002+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1494
,4627,2026-04-18 17:41:19.000006+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1495
,4672,2026-04-18 17:41:19.000011+00:00,SYSTEM,,,,1496
,4688,2026-04-18 17:41:19.001728+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k osprivacy -p -s camsvc,1497
,4688,2026-04-18 17:41:19.003593+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k wsappx -p -s AppXSvc,1498
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:19.011002+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1499
,4627,2026-04-18 17:41:19.011009+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1500
,4672,2026-04-18 17:41:19.011017+00:00,SYSTEM,,,,1501
,4688,2026-04-18 17:41:19.012093+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LanmanServer,1502
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:19.031630+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1503
,4627,2026-04-18 17:41:19.031637+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1504
,4672,2026-04-18 17:41:19.031647+00:00,SYSTEM,,,,1505
,4688,2026-04-18 17:41:19.033100+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks,1506
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:19.043835+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1507
,4627,2026-04-18 17:41:19.043842+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1508
,4672,2026-04-18 17:41:19.043850+00:00,SYSTEM,,,,1509
,4688,2026-04-18 17:41:19.048290+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,"""C:\Program Files (x86)\ossec-agent\wazuh-agent.exe""",1510
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:19.059425+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1511
,4627,2026-04-18 17:41:19.059435+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1512
,4672,2026-04-18 17:41:19.059973+00:00,SYSTEM,,,,1513
,4688,2026-04-18 17:41:19.069693+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt,1514
C:\Windows\System32\services.exe,4624,2026-04-18 17:41:19.103859+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1515
,4627,2026-04-18 17:41:19.103872+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,1516
